2023-02-06 18:02:264 INFO  HomePage :61 - Select ram from drop down[[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //select[@id='product_attribute_2']]
2023-02-06 18:02:408 INFO  HomePage :66 - click on HDD radio button[[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //input[@id='product_attribute_3_6']]
2023-02-06 18:02:552 INFO  HomePage :71 - Click on OS software which you would like [[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //input[@id='product_attribute_4_8']]
2023-02-06 18:02:688 INFO  HomePage :76 - tick on software check box on which you would like [[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //input[@id='product_attribute_5_10']]
2023-02-06 18:02:808 INFO  HomePage :82 - click on add to card button[[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-02-06 18:02:48 INFO  HomePage :86 - Getting link from [[ChromeDriver: chrome on WINDOWS (96cca5824c3fe0191f535b90e07868f5)] -> xpath: //div[@class='bar-notification success']/p]
2023-02-06 18:02:375 INFO  WebDriverManager :1122 - Using chromedriver 109.0.5414.74 (resolved driver for Chrome 109)
2023-02-06 18:02:391 INFO  WebDriverManager :1177 - Exporting webdriver.chrome.driver as C:\Users\kuldi\.cache\selenium\chromedriver\win32\109.0.5414.74\chromedriver.exe
2023-02-06 18:02:864 INFO  HomePage :38 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //ul[@class='top-menu notmobile']/li//a[@href='/computers']]
2023-02-06 18:02:383 INFO  HomePage :48 - Click on desktop linkProxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[@href='/desktops']'
2023-02-06 18:02:669 INFO  HomePage :51 - Click on build your computer linkProxy element for: DefaultElementLocator 'By.xpath: //div[@class='products-container']/div[2]/div/div/div[1]/div/div[2]/h2/a'
2023-02-06 18:02:781 INFO  HomePage :56 - Click on the processor from drop down[[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //select[@id='product_attribute_1']]
2023-02-06 18:02:941 INFO  HomePage :61 - Select ram from drop down[[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //select[@id='product_attribute_2']]
2023-02-06 18:02:45 INFO  HomePage :66 - click on HDD radio button[[ChromeDriver: chrome on WINDOWS (af5a78b9bb35ddc48c1e908f0950bac7)] -> xpath: //input[@id='product_attribute_3_6']]
